Authors,Bug ID,Bug Type,Commits,Components,Dates,File,Hash,Line,Repo,Lifetime,Number of Authors,Number of times modified
"['gadial ', 'cjwood ']",1.0,Classical,"['ec1b4ce759f1fb8ba0242dd6c4a309fa1b586666', '9616ec4c4dae881437377f89196672a00d243844']", #Function Call#Attribute,"[datetime.datetime(2018, 12, 12, 13, 11, 30), datetime.datetime(2018, 6, 29, 12, 45, 38)]",qiskit_ignis/tomography/fitters/cvx_fit.py,ec1b4ce759f1fb8ba0242dd6c4a309fa1b586666,237.0,qiskit-ignis,"166 days, 0:25:52",2,2
"['nkanazawa ', 'David McKay ']",10.0,Quantum,"['e696fee3e52550f50fb240a4c6356c61c9f01725', '8bee27529555762b00c88e6ba61e13981ce3acd6']", #Function Call#Binary Operator#Constant#Attribute,"[datetime.datetime(2019, 11, 13, 15, 38, 22), datetime.datetime(2019, 11, 9, 15, 50, 8)]",qiskit/ignis/characterization/calibrations/ibmq_utils.py,e696fee3e52550f50fb240a4c6356c61c9f01725,143.0,qiskit-ignis,"3 days, 23:48:14",2,2
"['nkanazawa ', 'David McKay ']",10.0,Quantum,"['e696fee3e52550f50fb240a4c6356c61c9f01725', '8bee27529555762b00c88e6ba61e13981ce3acd6']", #Function Call#Binary Operator#Unary Operator#Constant#Attribute,"[datetime.datetime(2019, 11, 13, 15, 38, 22), datetime.datetime(2019, 11, 9, 15, 50, 8)]",qiskit/ignis/characterization/calibrations/ibmq_utils.py,e696fee3e52550f50fb240a4c6356c61c9f01725,145.0,qiskit-ignis,"3 days, 23:48:14",2,2
[],1012.0,Classical,[], ,[],test/terra/backends/qasm_simulator/qasm_unitary_gate.py,7de864cc989b354d0ad1febbd62b891270927b6b,75.0,qiskit-aer,"-1 day, 23:59:59.999999",0,0
[],1012.0,Classical,[], ,[],test/terra/backends/qasm_simulator/qasm_unitary_gate.py,7de864cc989b354d0ad1febbd62b891270927b6b,76.0,qiskit-aer,"-1 day, 23:59:59.999999",0,0
[],1012.0,Classical,[], #Constant,[],test/terra/backends/qasm_simulator/qasm_unitary_gate.py,7de864cc989b354d0ad1febbd62b891270927b6b,77.0,qiskit-aer,"-1 day, 23:59:59.999999",0,0
[],1012.0,Classical,[], #Assignment#Constant,[],test/terra/backends/qasm_simulator/qasm_unitary_gate.py,7de864cc989b354d0ad1febbd62b891270927b6b,78.0,qiskit-aer,"-1 day, 23:59:59.999999",0,0
[],1012.0,Classical,[], ,[],test/terra/backends/qasm_simulator/qasm_unitary_gate.py,7de864cc989b354d0ad1febbd62b891270927b6b,79.0,qiskit-aer,"-1 day, 23:59:59.999999",0,0
[],1012.0,Classical,[], #Unary Operator#Constant#List,[],test/terra/backends/qasm_simulator/qasm_unitary_gate.py,7de864cc989b354d0ad1febbd62b891270927b6b,80.0,qiskit-aer,"-1 day, 23:59:59.999999",0,0
[],1012.0,Classical,[], #Unary Operator#Constant#List,[],test/terra/backends/qasm_simulator/qasm_unitary_gate.py,7de864cc989b354d0ad1febbd62b891270927b6b,81.0,qiskit-aer,"-1 day, 23:59:59.999999",0,0
[],1012.0,Classical,[], #Unary Operator#Constant#List,[],test/terra/backends/qasm_simulator/qasm_unitary_gate.py,7de864cc989b354d0ad1febbd62b891270927b6b,82.0,qiskit-aer,"-1 day, 23:59:59.999999",0,0
[],1012.0,Classical,[], #Function Call#Attribute,[],test/terra/backends/qasm_simulator/qasm_unitary_gate.py,7de864cc989b354d0ad1febbd62b891270927b6b,83.0,qiskit-aer,"-1 day, 23:59:59.999999",0,0
[],1012.0,Classical,[], #Function Call#Attribute,[],test/terra/backends/qasm_simulator/qasm_unitary_gate.py,7de864cc989b354d0ad1febbd62b891270927b6b,84.0,qiskit-aer,"-1 day, 23:59:59.999999",0,0
[],1012.0,Classical,[], #Constant#Tuple#Attribute,[],test/terra/backends/qasm_simulator/qasm_unitary_gate.py,7de864cc989b354d0ad1febbd62b891270927b6b,85.0,qiskit-aer,"-1 day, 23:59:59.999999",0,0
[],1012.0,Classical,[], ,[],test/terra/backends/qasm_simulator/qasm_unitary_gate.py,7de864cc989b354d0ad1febbd62b891270927b6b,86.0,qiskit-aer,"-1 day, 23:59:59.999999",0,0
[],1012.0,Classical,[], #Function Call#Assignment#Attribute,[],test/terra/backends/qasm_simulator/qasm_unitary_gate.py,7de864cc989b354d0ad1febbd62b891270927b6b,87.0,qiskit-aer,"-1 day, 23:59:59.999999",0,0
[],1012.0,Classical,[], #Function Call#Constant#Attribute,[],test/terra/backends/qasm_simulator/qasm_unitary_gate.py,7de864cc989b354d0ad1febbd62b891270927b6b,88.0,qiskit-aer,"-1 day, 23:59:59.999999",0,0
[],1012.0,Classical,[], ,[],test/terra/backends/qasm_simulator/qasm_unitary_gate.py,7de864cc989b354d0ad1febbd62b891270927b6b,75.0,qiskit-aer,"-1 day, 23:59:59.999999",0,0
[],1012.0,Classical,[], ,[],test/terra/backends/qasm_simulator/qasm_unitary_gate.py,7de864cc989b354d0ad1febbd62b891270927b6b,76.0,qiskit-aer,"-1 day, 23:59:59.999999",0,0
[],1012.0,Classical,[], #Constant,[],test/terra/backends/qasm_simulator/qasm_unitary_gate.py,7de864cc989b354d0ad1febbd62b891270927b6b,77.0,qiskit-aer,"-1 day, 23:59:59.999999",0,0
