project_full_name,fix_commit_hash,buggy_commit_hash,bug_id,bug_type,buggy_file_path,action
Qiskit/qiskit-ignis,ec1b4ce759f1fb8ba0242dd6c4a309fa1b586666,ec1b4ce759f1fb8ba0242dd6c4a309fa1b586666^1,1,Classical,qiskit_ignis/tomography/fitters/cvx_fit.py,M
Qiskit/qiskit-ignis,e696fee3e52550f50fb240a4c6356c61c9f01725,e696fee3e52550f50fb240a4c6356c61c9f01725^1,10,Quantum,qiskit/ignis/characterization/calibrations/ibmq_utils.py,M
Qiskit/qiskit-aer,dc7a2413e6c373455c00cff51e37eaaa17a4a7ac,dc7a2413e6c373455c00cff51e37eaaa17a4a7ac^1,1010,Quantum,src/controllers/controller.hpp,M
Qiskit/qiskit-aer,dc7a2413e6c373455c00cff51e37eaaa17a4a7ac,dc7a2413e6c373455c00cff51e37eaaa17a4a7ac^1,1010,Quantum,src/controllers/qasm_controller.hpp,M
Qiskit/qiskit-aer,7de864cc989b354d0ad1febbd62b891270927b6b,7de864cc989b354d0ad1febbd62b891270927b6b^1,1012,Classical,src/framework/operations.hpp,M
Qiskit/qiskit-aer,f3b4303f478ff84bf8da15761827287d3a2f16e4,f3b4303f478ff84bf8da15761827287d3a2f16e4^1,1019,Quantum,src/simulators/density_matrix/densitymatrix_state.hpp,M
Qiskit/qiskit-aer,0eab74b57f2704ad0893132b6c5f214603550c39,0eab74b57f2704ad0893132b6c5f214603550c39^1,1022,Quantum,src/simulators/density_matrix/densitymatrix_thrust.hpp,M
PennyLaneAI/pennylane,01196202394aed89f43d3044d64eb9e41f7d583c,01196202394aed89f43d3044d64eb9e41f7d583c^1,104,Classical,.github/CHANGELOG.md,M
PennyLaneAI/pennylane,01196202394aed89f43d3044d64eb9e41f7d583c,01196202394aed89f43d3044d64eb9e41f7d583c^1,104,Classical,pennylane/devices/default_qubit.py,M
PennyLaneAI/pennylane,01196202394aed89f43d3044d64eb9e41f7d583c,01196202394aed89f43d3044d64eb9e41f7d583c^1,104,Classical,pennylane/devices/default_qubit_tf.py,M
Qiskit/qiskit-aer,48498dd0edc4e1ed1ee4bb287edd89541af104b2,48498dd0edc4e1ed1ee4bb287edd89541af104b2^1,1057,Classical,src/framework/creg.hpp,M
Qiskit/qiskit-aer,48498dd0edc4e1ed1ee4bb287edd89541af104b2,48498dd0edc4e1ed1ee4bb287edd89541af104b2^1,1057,Classical,src/framework/utils.hpp,M
Qiskit/qiskit-aer,72674296de7de6cfdf812595be33a2f6f637a29f,72674296de7de6cfdf812595be33a2f6f637a29f^1,1067,Quantum,src/simulators/matrix_product_state/matrix_product_state.hpp,M
PennyLaneAI/pennylane,474f337b176f706a180ac62d6c7840c01f604192,474f337b176f706a180ac62d6c7840c01f604192^1,107,Quantum,.github/CHANGELOG.md,M
PennyLaneAI/pennylane,474f337b176f706a180ac62d6c7840c01f604192,474f337b176f706a180ac62d6c7840c01f604192^1,107,Quantum,pennylane/interfaces/torch.py,M
PennyLaneAI/pennylane,474f337b176f706a180ac62d6c7840c01f604192,474f337b176f706a180ac62d6c7840c01f604192^1,107,Quantum,pennylane/qnn/torch.py,M
PennyLaneAI/pennylane,474f337b176f706a180ac62d6c7840c01f604192,474f337b176f706a180ac62d6c7840c01f604192^1,107,Quantum,pennylane/tape/interfaces/torch.py,M
Qiskit/qiskit-aer,20c3b06c2464ce0342a920dfbe91c6a496707f7f,20c3b06c2464ce0342a920dfbe91c6a496707f7f^1,1073,Quantum,src/simulators/matrix_product_state/matrix_product_state_internal.cpp,M
Qiskit/qiskit-aer,20c3b06c2464ce0342a920dfbe91c6a496707f7f,20c3b06c2464ce0342a920dfbe91c6a496707f7f^1,1073,Quantum,src/simulators/matrix_product_state/svd.hpp,M
Qiskit/qiskit-aer,759a01f43726d5146422141bfdcc83fc34c180d0,759a01f43726d5146422141bfdcc83fc34c180d0^1,1076,Quantum,src/simulators/matrix_product_state/matrix_product_state_internal.cpp,M
Qiskit/qiskit-aer,759a01f43726d5146422141bfdcc83fc34c180d0,759a01f43726d5146422141bfdcc83fc34c180d0^1,1076,Quantum,src/simulators/matrix_product_state/matrix_product_state_internal.hpp,M
Qiskit/qiskit-aer,bd00cf0e317a262f9b5cc500a07505a8323bc792,bd00cf0e317a262f9b5cc500a07505a8323bc792^1,1092,Classical,src/controllers/aer_controller.hpp,M
Qiskit/qiskit-aer,bd00cf0e317a262f9b5cc500a07505a8323bc792,bd00cf0e317a262f9b5cc500a07505a8323bc792^1,1092,Classical,src/controllers/controller.hpp,M
Qiskit/qiskit-aer,bd00cf0e317a262f9b5cc500a07505a8323bc792,bd00cf0e317a262f9b5cc500a07505a8323bc792^1,1092,Classical,src/controllers/qasm_controller.hpp,M
Qiskit/qiskit-aer,bd00cf0e317a262f9b5cc500a07505a8323bc792,bd00cf0e317a262f9b5cc500a07505a8323bc792^1,1092,Classical,src/framework/utils.hpp,M
Qiskit/qiskit-aer,bd00cf0e317a262f9b5cc500a07505a8323bc792,bd00cf0e317a262f9b5cc500a07505a8323bc792^1,1092,Classical,src/simulators/density_matrix/densitymatrix_state_chunk.hpp,M
Qiskit/qiskit-aer,bd00cf0e317a262f9b5cc500a07505a8323bc792,bd00cf0e317a262f9b5cc500a07505a8323bc792^1,1092,Classical,src/simulators/state_chunk.hpp,M
