bug_id,bug_type,project_full_name,file_name,function_name,code_smell_metric,code_smell_metric_value
1,Classical,qiskit-ignis,circuits.py,state_tomography_circuits,PAR,2
1,Classical,qiskit-ignis,circuits.py,state_tomography_circuits,MLOC,1
1,Classical,qiskit-ignis,circuits.py,process_tomography_circuits,PAR,2
1,Classical,qiskit-ignis,circuits.py,process_tomography_circuits,MLOC,1
1,Classical,qiskit-ignis,circuits.py,_tomography_circuits,PAR,2
1,Classical,qiskit-ignis,circuits.py,_tomography_circuits,MLOC,86
1,Classical,qiskit-ignis,circuits.py,_tomography_circuits,CNOC,23
1,Classical,qiskit-ignis,circuits.py,_tomography_circuits,NOFF,1
1,Classical,qiskit-ignis,circuits.py,_tomography_circuits,CNOO,5
1,Classical,qiskit-ignis,circuits.py,_tomography_circuits,LEC,1
1,Classical,qiskit-ignis,circuits.py,_tomography_circuits,CNOC,23
1,Classical,qiskit-ignis,circuits.py,_tomography_circuits,NOFF,1
1,Classical,qiskit-ignis,circuits.py,_tomography_circuits,CNOO,5
1,Classical,qiskit-ignis,circuits.py,_tomography_circuits,LEC,1
1,Classical,qiskit-ignis,circuits.py,_tomography_circuits,CNOC,23
1,Classical,qiskit-ignis,circuits.py,_tomography_circuits,NOFF,1
1,Classical,qiskit-ignis,circuits.py,_tomography_circuits,CNOO,5
1,Classical,qiskit-ignis,circuits.py,_tomography_circuits,LEC,1
1,Classical,qiskit-ignis,circuits.py,_tomography_circuits,LEC,1
1,Classical,qiskit-ignis,circuits.py,_tomography_circuits,LEC,1
1,Classical,qiskit-ignis,circuits.py,_tomography_circuits,LEC,1
1,Classical,qiskit-ignis,circuits.py,_tomography_circuits,LEC,1
1,Classical,qiskit-ignis,circuits.py,_tomography_circuits,LEC,1
1,Classical,qiskit-ignis,circuits.py,default_basis,PAR,1
1,Classical,qiskit-ignis,circuits.py,default_basis,MLOC,10
1,Classical,qiskit-ignis,circuits.py,_default_measurement_labels,PAR,1
