project_full_name,fix_commit_hash,bug_id,bug_type,fix_timestamp,issue_url,issue_date,issue_timestamp
Qiskit/qiskit-aer,7de864cc989b354d0ad1febbd62b891270927b6b,1012,Classical,1587413459,https://github.com/Qiskit/qiskit-aer/issues/705,2020-04-20T14:26:40Z,1587392800
ProjectQ-Framework/ProjectQ,81752a9880a6527fbd3b6ebf17ba00fc564979f3,1103,Classical,1489996914,https://github.com/ProjectQ-Framework/ProjectQ/issues/23,2017-03-15T23:43:41Z,1489621421
ProjectQ-Framework/ProjectQ,dd34daa10b91e68b89be14c6b375f869ac9d04a2,1105,Classical,1492677273,https://github.com/ProjectQ-Framework/ProjectQ/issues/43,2017-04-12T21:49:36Z,1492033776
ProjectQ-Framework/ProjectQ,81f94d479612418552d3b1d628d661dac6a1206c,1110,Classical,1494700375,https://github.com/ProjectQ-Framework/ProjectQ/pull/101,2017-05-12T23:42:27Z,1494632547
ProjectQ-Framework/ProjectQ,6ef8a0eeb06267b27bbbe9207b71013e9cca65d4,1122,Classical,1588255592,https://github.com/ProjectQ-Framework/ProjectQ/issues/367,2020-04-30T09:54:24Z,1588240464
ProjectQ-Framework/ProjectQ,c15f3b25dd2efc426507360a19b6b1dded2ec37e,1123,Classical,1607963182,https://github.com/ProjectQ-Framework/ProjectQ/issues/382,2020-11-30T21:33:19Z,1606771999
PennyLaneAI/pennylane,c267cd0337414a6e3e8296629a8914032806cda7,128,Classical,1614692980,https://github.com/PennyLaneAI/pennylane/pull/1067,2021-02-05T07:09:07Z,1612508947
PennyLaneAI/pennylane,ef87a8cf35accfbb556fab13210288f9c46b358b,140,Classical,1619678474,https://github.com/PennyLaneAI/pennylane/pull/1243,2021-04-21T07:12:24Z,1618989144
quantumlib/Cirq,875132cf97190c016023c20958f69a675376a160,1467,Classical,1582588180,https://github.com/quantumlib/Cirq/pull/2758,2020-02-11T12:21:06Z,1581423666
quantumlib/Cirq,7c8c959e5e4b90f857cd1539279c51d30224033c,1518,Classical,1601674851,https://github.com/quantumlib/Cirq/issues/3380,2020-10-02T15:09:10Z,1601651350
PennyLaneAI/pennylane,a5b9b23952b7cad3528d0b64f1084d0e40b563ab,156,Classical,1625847941,https://github.com/PennyLaneAI/pennylane/pull/1451,2021-07-06T13:19:06Z,1625577546
unitaryfund/mitiq,1d9640d6be47cd575034e243cfa12e8668cfc9ad,1685,Classical,1584019303,https://github.com/unitaryfund/mitiq/issues/29,2020-03-05T20:53:18Z,1583441598
unitaryfund/mitiq,6f66672740d1322995916dbeb1ffc2f94403baac,1705,Classical,1615948084,https://github.com/unitaryfund/mitiq/issues/595,2021-03-15T21:13:02Z,1615842782
aspuru-guzik-group/tequila,9b673ce6df5dc35eacb2f8a4bfae76ff5b243a86,1745,Classical,1629490705,https://github.com/tequilahub/tequila/issues/175,2021-08-20T14:21:35Z,1629469295
xanaduai/strawberryfields,098caa660133c6bcdb357c2599e4a561100c5686,1828,Classical,1560442573,https://github.com/XanaduAI/strawberryfields/pull/91,2019-06-11T20:35:10Z,1560285310
xanaduai/strawberryfields,5ecac45f620bb9769b2e2ab4ea9d456459b96131,1829,Classical,1560864525,https://github.com/XanaduAI/strawberryfields/pull/90,2019-06-11T17:10:40Z,1560273040
xanaduai/strawberryfields,beb7500622712186a9bf7f27fd3d8f354ac17d35,1847,Classical,1585605660,https://github.com/XanaduAI/strawberryfields/pull/337,2020-03-27T12:46:46Z,1585313206
xanaduai/strawberryfields,2e6d558e92bcd28da0ac76d88a7eb6d59667cc69,1854,Classical,1603160684,https://github.com/XanaduAI/strawberryfields/issues/467,2020-10-14T23:00:09Z,1602716409
xanaduai/strawberryfields,6fd7aaa2332eb2d283034b03984acaeb06e785ac,1860,Classical,1615591569,https://github.com/XanaduAI/strawberryfields/issues/554,2021-03-10T15:07:39Z,1615388859
rigetti/pyquil,b6ef90d22065c0b9c87788477a04f8b38f56c2eb,1928,Classical,1498501107,https://github.com/rigetti/pyquil/pull/55,2017-06-21T16:38:00Z,1498063080
rigetti/pyquil,b9f050c6e33a036c10d6f984c3f0b0f29836d2e0,2004,Classical,1569108876,https://github.com/rigetti/pyquil/issues/815,2019-03-01T02:02:15Z,1551405735
rigetti/pyquil,279a29b432a6c12d013b26201fc53410fca4f48d,2018,Classical,1611594298,https://github.com/rigetti/pyquil/issues/1295,2021-01-25T16:06:49Z,1611590809
dwavesystems/dwave-system,e8a1fefc86f560799ded9dfc19b54e70964db17b,2052,Classical,1569604126,https://github.com/dwavesystems/dwave-system/pull/230,2019-09-27T16:50:13Z,1569603013
dwavesystems/dwave-system,91a5b5ccd746906b701fe22adca0bd5716f79a47,2064,Classical,1608227067,https://github.com/dwavesystems/dwave-system/issues/372,2020-12-10T19:52:47Z,1607629967
dwavesystems/dwave-system,00fa6703c7e550314e5ea171ca4c10d15282079c,2067,Classical,1631194837,https://github.com/dwavesystems/dwave-system/issues/363,2020-10-29T10:55:55Z,1603968955
Qiskit/qiskit-ignis,0af27dd1fdd5c4e4d2ef80d21d0375d11a1625fd,27,Classical,1600191523,https://github.com/Qiskit/qiskit-ignis/issues/491,2020-09-06T14:46:09Z,1599403569
