project_full_name,fix_commit_hash,buggy_commit_hash,bug_id,bug_type,number_loc_added,number_loc_deleted
Qiskit/qiskit-ignis,ec1b4ce759f1fb8ba0242dd6c4a309fa1b586666,ec1b4ce759f1fb8ba0242dd6c4a309fa1b586666^1,1,Classical,19,1
Qiskit/qiskit-ignis,e696fee3e52550f50fb240a4c6356c61c9f01725,e696fee3e52550f50fb240a4c6356c61c9f01725^1,10,Quantum,2,2
Qiskit/qiskit-aer,dc7a2413e6c373455c00cff51e37eaaa17a4a7ac,dc7a2413e6c373455c00cff51e37eaaa17a4a7ac^1,1010,Quantum,9,3
Qiskit/qiskit-aer,7de864cc989b354d0ad1febbd62b891270927b6b,7de864cc989b354d0ad1febbd62b891270927b6b^1,1012,Classical,75,103
Qiskit/qiskit-aer,f3b4303f478ff84bf8da15761827287d3a2f16e4,f3b4303f478ff84bf8da15761827287d3a2f16e4^1,1019,Quantum,46,38
Qiskit/qiskit-aer,0eab74b57f2704ad0893132b6c5f214603550c39,0eab74b57f2704ad0893132b6c5f214603550c39^1,1022,Quantum,2,2
PennyLaneAI/pennylane,01196202394aed89f43d3044d64eb9e41f7d583c,01196202394aed89f43d3044d64eb9e41f7d583c^1,104,Classical,92,6
Qiskit/qiskit-aer,48498dd0edc4e1ed1ee4bb287edd89541af104b2,48498dd0edc4e1ed1ee4bb287edd89541af104b2^1,1057,Classical,281,4
Qiskit/qiskit-aer,72674296de7de6cfdf812595be33a2f6f637a29f,72674296de7de6cfdf812595be33a2f6f637a29f^1,1067,Quantum,29,4
PennyLaneAI/pennylane,474f337b176f706a180ac62d6c7840c01f604192,474f337b176f706a180ac62d6c7840c01f604192^1,107,Quantum,39,7
Qiskit/qiskit-aer,7fe4f9eadc835705c25c13c753b8550b199efa44,7fe4f9eadc835705c25c13c753b8550b199efa44^1,1070,Quantum,10,10
Qiskit/qiskit-aer,20c3b06c2464ce0342a920dfbe91c6a496707f7f,20c3b06c2464ce0342a920dfbe91c6a496707f7f^1,1073,Quantum,81,5
Qiskit/qiskit-aer,759a01f43726d5146422141bfdcc83fc34c180d0,759a01f43726d5146422141bfdcc83fc34c180d0^1,1076,Quantum,26,3
Qiskit/qiskit-aer,bd00cf0e317a262f9b5cc500a07505a8323bc792,bd00cf0e317a262f9b5cc500a07505a8323bc792^1,1092,Classical,153,499
Qiskit/qiskit-aer,1cfa05e66c090ed6b57e7631b4935f2a7f5a6aad,1cfa05e66c090ed6b57e7631b4935f2a7f5a6aad^1,1096,Quantum,3,1
Qiskit/qiskit-ignis,3c59f82c11e87c071bc7e84240b50e2aa995281f,3c59f82c11e87c071bc7e84240b50e2aa995281f^1,11,Quantum,16,18
PennyLaneAI/pennylane,c0d269e5f1eba2f9d033bd9b6a79c10a11f4228a,c0d269e5f1eba2f9d033bd9b6a79c10a11f4228a^1,110,Classical,1,1
ProjectQ-Framework/ProjectQ,722104c40e9526e92a71a2161cb5f2d8757bcbfe,722104c40e9526e92a71a2161cb5f2d8757bcbfe^1,1102,Classical,43,18
ProjectQ-Framework/ProjectQ,81752a9880a6527fbd3b6ebf17ba00fc564979f3,81752a9880a6527fbd3b6ebf17ba00fc564979f3^1,1103,Classical,17,3
ProjectQ-Framework/ProjectQ,dd34daa10b91e68b89be14c6b375f869ac9d04a2,dd34daa10b91e68b89be14c6b375f869ac9d04a2^1,1105,Classical,23,12
ProjectQ-Framework/ProjectQ,0e2113b64d616ec303bfff22a38af05a74583bbe,0e2113b64d616ec303bfff22a38af05a74583bbe^1,1107,Quantum,24,16
ProjectQ-Framework/ProjectQ,75e7a7fefea232e61327e7d7a7b09345e494c655,75e7a7fefea232e61327e7d7a7b09345e494c655^1,1108,Classical,4,4
ProjectQ-Framework/ProjectQ,81f94d479612418552d3b1d628d661dac6a1206c,81f94d479612418552d3b1d628d661dac6a1206c^1,1110,Classical,8,1
ProjectQ-Framework/ProjectQ,144c8d1cc06214ff4be2a4ed79d5fa9753c8265b,144c8d1cc06214ff4be2a4ed79d5fa9753c8265b^1,1111,Classical,52,2
ProjectQ-Framework/ProjectQ,88e2f1823748a82d1f3ad5e877b3a9b1f2aa43ad,88e2f1823748a82d1f3ad5e877b3a9b1f2aa43ad^1,1112,Classical,41,18
ProjectQ-Framework/ProjectQ,c703417beb3c97f73514d6f39320251a1c7dadab,c703417beb3c97f73514d6f39320251a1c7dadab^1,1115,Quantum,15,11
ProjectQ-Framework/ProjectQ,62d3fb11578a06131b0105b220651520b2a7338b,62d3fb11578a06131b0105b220651520b2a7338b^1,1116,Quantum,29,11
ProjectQ-Framework/ProjectQ,11f45873e20c2fa78fab2b59b5b460ac5f595fc6,11f45873e20c2fa78fab2b59b5b460ac5f595fc6^1,1118,Classical,13,2
ProjectQ-Framework/ProjectQ,67ce24bd5d4aa06eb43c8e094c551c89567ef57d,67ce24bd5d4aa06eb43c8e094c551c89567ef57d^1,1121,Quantum,11,8
ProjectQ-Framework/ProjectQ,6ef8a0eeb06267b27bbbe9207b71013e9cca65d4,6ef8a0eeb06267b27bbbe9207b71013e9cca65d4^1,1122,Classical,94,4
ProjectQ-Framework/ProjectQ,c15f3b25dd2efc426507360a19b6b1dded2ec37e,c15f3b25dd2efc426507360a19b6b1dded2ec37e^1,1123,Classical,3,4
ProjectQ-Framework/ProjectQ,1c07475ad9dbc30baedddf78fddafa96112ffcdc,1c07475ad9dbc30baedddf78fddafa96112ffcdc^1,1126,Quantum,535,600
microsoft/QuantumLibraries,cbf36bc4d8efcac9f4f20bbbc2b87ca302611c91,cbf36bc4d8efcac9f4f20bbbc2b87ca302611c91^1,1139,Classical,2,2
microsoft/QuantumLibraries,7ccf6c2ccc8851a72e42aa4c6853fd243f1b27cc,7ccf6c2ccc8851a72e42aa4c6853fd243f1b27cc^1,1149,Classical,56,4
microsoft/QuantumLibraries,1c8620c10cfbf016d315668e22766c091502eea4,1c8620c10cfbf016d315668e22766c091502eea4^1,1156,Quantum,17,13
microsoft/qsharp-compiler,979c3ddb9e58e23dfa3f9ccf75c69b94041934aa,979c3ddb9e58e23dfa3f9ccf75c69b94041934aa^1,1175,Classical,16,13
microsoft/qsharp-compiler,7173815bb77d20b7cc7a342e8569b77b5e79e612,7173815bb77d20b7cc7a342e8569b77b5e79e612^1,1178,Quantum,7,7
microsoft/qsharp-compiler,1ca68a9c43a9d6c05f7fb4cb1ce46295e70d6091,1ca68a9c43a9d6c05f7fb4cb1ce46295e70d6091^1,1188,Classical,6,4
microsoft/qsharp-compiler,34a8c0b0903005d5d9a89b67ef0deec65cb6f0fd,34a8c0b0903005d5d9a89b67ef0deec65cb6f0fd^1,1195,Classical,30,5
microsoft/qsharp-compiler,b1c3ec68f4bfae42eaaa3e2026f077332cccfa04,b1c3ec68f4bfae42eaaa3e2026f077332cccfa04^1,1212,Classical,185,166
microsoft/qsharp-compiler,cb553b73f02833f7e9c74fa83ca787b1c0a7e603,cb553b73f02833f7e9c74fa83ca787b1c0a7e603^1,1216,Quantum,270,46
microsoft/qsharp-compiler,c2f8e0e712fc698d93ef9b4991444874a7c04b50,c2f8e0e712fc698d93ef9b4991444874a7c04b50^1,1217,Quantum,54,21
microsoft/qsharp-compiler,d2f3de6cd0fd072569fc125cfe89941b0a40c968,d2f3de6cd0fd072569fc125cfe89941b0a40c968^1,1220,Quantum,30,1
microsoft/qsharp-compiler,3ffd626b249f836369054cc1aa9e5d2f8aadfe0b,3ffd626b249f836369054cc1aa9e5d2f8aadfe0b^1,1221,Classical,214,81
microsoft/qsharp-compiler,1af31ba43561e9cbfa99be70e633f6d39a4fa71e,1af31ba43561e9cbfa99be70e633f6d39a4fa71e^1,1222,Classical,152,46
microsoft/qsharp-compiler,ed60c81e5192cddd5f7342c08a1c00d392473127,ed60c81e5192cddd5f7342c08a1c00d392473127^1,1229,Classical,204,115
microsoft/qsharp-compiler,4cfa49817b99a1fd6a9c74f0ff3b1e84a84ac74c,4cfa49817b99a1fd6a9c74f0ff3b1e84a84ac74c^1,1230,Classical,315,188
microsoft/qsharp-compiler,2dbaea713e9fe1925a4b14483d37c0decaea6ba8,2dbaea713e9fe1925a4b14483d37c0decaea6ba8^1,1233,Classical,58,8
microsoft/qsharp-compiler,c3d1a09f70960d09af68e805294962e7e6c690d8,c3d1a09f70960d09af68e805294962e7e6c690d8^1,1234,Classical,1,1
