"id","type","project_full_name","fix_commit_hash","component","symptom","bug_pattern","complexity","project_clone_url"
"1","Classical","Qiskit/qiskit-ignis","ec1b4ce759f1fb8ba0242dd6c4a309fa1b586666","Quantum State Evaluation","Crash - OS/PL Error, Crash","Missing Error Handling","19","https://github.com/Qiskit/qiskit-ignis.git"
"10","Quantum","Qiskit/qiskit-ignis","e696fee3e52550f50fb240a4c6356c61c9f01725","Quantum State Evaluation","Incorrect Output","Incorrect Numerical Computation","2","https://github.com/Qiskit/qiskit-ignis.git"
"1010","Quantum","Qiskit/qiskit-aer","dc7a2413e6c373455c00cff51e37eaaa17a4a7ac","Optimizations","Crash - Application Error, Crash","Barrier Related","6","https://github.com/Qiskit/qiskit-aer.git"
"1012","Classical","Qiskit/qiskit-aer","7de864cc989b354d0ad1febbd62b891270927b6b","Testing","Failing Test","Flaky Test, Misconfiguration, Misconfiguration - Testing","1","https://github.com/Qiskit/qiskit-aer.git"
"1019","Quantum","Qiskit/qiskit-aer","f3b4303f478ff84bf8da15761827287d3a2f16e4","Simulator","Incorrect Output","API Misuse - Internal, Typo","1","https://github.com/Qiskit/qiskit-aer.git"
"1022","Quantum","Qiskit/qiskit-aer","0eab74b57f2704ad0893132b6c5f214603550c39","Quantum Abstractions","Incorrect Output","Incorrect IR - Wrong Information","2","https://github.com/Qiskit/qiskit-aer.git"
"104","Classical","PennyLaneAI/pennylane","01196202394aed89f43d3044d64eb9e41f7d583c","Quantum Abstractions","Inefficiency","Type Problem","1","https://github.com/PennyLaneAI/pennylane.git"
"1057","Classical","Qiskit/qiskit-aer","48498dd0edc4e1ed1ee4bb287edd89541af104b2","Quantum Abstractions, Simulator","Incorrect Final Measurement, Incorrect Output","Overlooked Corner Case","13","https://github.com/Qiskit/qiskit-aer.git"
"1067","Quantum","Qiskit/qiskit-aer","72674296de7de6cfdf812595be33a2f6f637a29f","Simulator, Quantum State Evaluation","Incorrect Final Measurement, Incorrect Output","Wrong Concept","3","https://github.com/Qiskit/qiskit-aer.git"
"107","Quantum","PennyLaneAI/pennylane","474f337b176f706a180ac62d6c7840c01f604192","Domain-specific Abstractions","Crash - Application Error, Crash","Type Problem, GPU related","7","https://github.com/PennyLaneAI/pennylane.git"
"1070","Quantum","Qiskit/qiskit-aer","7fe4f9eadc835705c25c13c753b8550b199efa44","Testing","Failing Test","API Outdated - External","2","https://github.com/Qiskit/qiskit-aer.git"
"1073","Quantum","Qiskit/qiskit-aer","20c3b06c2464ce0342a920dfbe91c6a496707f7f","Simulator","Crash - OS/PL Error, Crash","Wrong Concept, Wrong Identifier","1","https://github.com/Qiskit/qiskit-aer.git"
"1076","Quantum","Qiskit/qiskit-aer","759a01f43726d5146422141bfdcc83fc34c180d0","Simulator","Incorrect Output","Incorrect IR - Missing Information, Incorrect Application Logic","13","https://github.com/Qiskit/qiskit-aer.git"
"1092","Classical","Qiskit/qiskit-aer","bd00cf0e317a262f9b5cc500a07505a8323bc792","Simulator","Crash - OS/PL Error, Crash","Memory Leak","100+","https://github.com/Qiskit/qiskit-aer.git"
"1096","Quantum","Qiskit/qiskit-aer","1cfa05e66c090ed6b57e7631b4935f2a7f5a6aad","Machine Code Generation, Optimizations","Crash - Application Error, Crash","Incorrect Application Logic, Overlooked Corner Case","3","https://github.com/Qiskit/qiskit-aer.git"
"11","Quantum","Qiskit/qiskit-ignis","3c59f82c11e87c071bc7e84240b50e2aa995281f","Testing","Failing Test","API Misuse - External","18","https://github.com/Qiskit/qiskit-ignis.git"
"110","Classical","PennyLaneAI/pennylane","c0d269e5f1eba2f9d033bd9b6a79c10a11f4228a","Quantum Abstractions, Machine Code Generation","Incorrect Output","Wrong Identifier","1","https://github.com/PennyLaneAI/pennylane.git"
"1102","Classical","ProjectQ-Framework/ProjectQ","722104c40e9526e92a71a2161cb5f2d8757bcbfe","Interface to Quantum Computer","Crash - OS/PL Error, Crash","API Outdated - External","1","https://github.com/ProjectQ-Framework/ProjectQ.git"
"1103","Classical","ProjectQ-Framework/ProjectQ","81752a9880a6527fbd3b6ebf17ba00fc564979f3","Testing","Crash - OS/PL Error, Crash","Overlooked Corner Case, Misconfiguration, Misconfiguration - Testing","12","https://github.com/ProjectQ-Framework/ProjectQ.git"
"1105","Classical","ProjectQ-Framework/ProjectQ","dd34daa10b91e68b89be14c6b375f869ac9d04a2","Quantum Abstractions","Incorrect Output","Incorrect Application Logic","7","https://github.com/ProjectQ-Framework/ProjectQ.git"
"1107","Quantum","ProjectQ-Framework/ProjectQ","0e2113b64d616ec303bfff22a38af05a74583bbe","Quantum Abstractions","Crash - OS/PL Error, Crash","Wrong Concept, Overlooked Corner Case","15","https://github.com/ProjectQ-Framework/ProjectQ.git"
"1108","Classical","ProjectQ-Framework/ProjectQ","75e7a7fefea232e61327e7d7a7b09345e494c655","Infrastructural Scripts and Glue Code","Incorrect Output","Syntax Error","1","https://github.com/ProjectQ-Framework/ProjectQ.git"
"1110","Classical","ProjectQ-Framework/ProjectQ","81f94d479612418552d3b1d628d661dac6a1206c","Quantum Abstractions","Crash - OS/PL Error, Crash","Type Problem","1","https://github.com/ProjectQ-Framework/ProjectQ.git"
"1111","Classical","ProjectQ-Framework/ProjectQ","144c8d1cc06214ff4be2a4ed79d5fa9753c8265b","Machine Code Generation","Crash - OS/PL Error, Crash","Overlooked Corner Case, Type Problem","9","https://github.com/ProjectQ-Framework/ProjectQ.git"
"1112","Classical","ProjectQ-Framework/ProjectQ","88e2f1823748a82d1f3ad5e877b3a9b1f2aa43ad","Infrastructural Scripts and Glue Code","Crash - OS/PL Error, Crash","Overlooked Corner Case, Type Problem","2","https://github.com/ProjectQ-Framework/ProjectQ.git"
"1115","Quantum","ProjectQ-Framework/ProjectQ","c703417beb3c97f73514d6f39320251a1c7dadab","Machine Code Generation","Non-termination","Incorrect Application Logic","2","https://github.com/ProjectQ-Framework/ProjectQ.git"
"1116","Quantum","ProjectQ-Framework/ProjectQ","62d3fb11578a06131b0105b220651520b2a7338b","Simulator","Unclear","Incorrect Application Logic","16","https://github.com/ProjectQ-Framework/ProjectQ.git"
"1118","Classical","ProjectQ-Framework/ProjectQ","11f45873e20c2fa78fab2b59b5b460ac5f595fc6","Machine Code Generation","Crash - OS/PL Error, Crash","Overlooked Corner Case","6","https://github.com/ProjectQ-Framework/ProjectQ.git"
"1121","Quantum","ProjectQ-Framework/ProjectQ","67ce24bd5d4aa06eb43c8e094c551c89567ef57d","Visualization and Plotting","Crash - OS/PL Error, Crash","Overlooked Corner Case","8","https://github.com/ProjectQ-Framework/ProjectQ.git"
"1122","Classical","ProjectQ-Framework/ProjectQ","6ef8a0eeb06267b27bbbe9207b71013e9cca65d4","Tutorial and Examples","Crash - Application Error, Crash","Wrong Identifier","1","https://github.com/ProjectQ-Framework/ProjectQ.git"
"1123","Classical","ProjectQ-Framework/ProjectQ","c15f3b25dd2efc426507360a19b6b1dded2ec37e","Infrastructural Scripts and Glue Code","Crash - OS/PL Error, Crash","Misconfiguration, Misconfiguration - Installation","3","https://github.com/ProjectQ-Framework/ProjectQ.git"
"1126","Quantum","ProjectQ-Framework/ProjectQ","1c07475ad9dbc30baedddf78fddafa96112ffcdc","Testing","Failing Test","Incorrect Numerical Computation","16","https://github.com/ProjectQ-Framework/ProjectQ.git"
"1139","Classical","microsoft/QuantumLibraries","cbf36bc4d8efcac9f4f20bbbc2b87ca302611c91","Classical Abstractions","Incorrect Output","Incorrect Numerical Computation, Imprecise Result","1","https://github.com/microsoft/QuantumLibraries.git"
"1149","Classical","microsoft/QuantumLibraries","7ccf6c2ccc8851a72e42aa4c6853fd243f1b27cc","Quantum State Evaluation","Crash - Application Error, Crash","Missing Error Handling","35","https://github.com/microsoft/QuantumLibraries.git"
"1156","Quantum","microsoft/QuantumLibraries","1c8620c10cfbf016d315668e22766c091502eea4","Tutorial and Examples","Unclear","Incorrect Circuit","1","https://github.com/microsoft/QuantumLibraries.git"
"1175","Classical","microsoft/qsharp-compiler","979c3ddb9e58e23dfa3f9ccf75c69b94041934aa","Intermediate Representation","Unclear","Type Problem, Misconfiguration, Misconfiguration - Building","10","https://github.com/microsoft/qsharp-compiler.git"
"1178","Quantum","microsoft/qsharp-compiler","7173815bb77d20b7cc7a342e8569b77b5e79e612","Machine Code Generation","Unclear","Incorrect Application Logic","14","https://github.com/microsoft/qsharp-compiler.git"
"1188","Classical","microsoft/qsharp-compiler","1ca68a9c43a9d6c05f7fb4cb1ce46295e70d6091","Infrastructural Scripts and Glue Code","Crash - OS/PL Error, Crash","Misconfiguration, Misconfiguration - Testing","4","https://github.com/microsoft/qsharp-compiler.git"
"1195","Classical","microsoft/qsharp-compiler","34a8c0b0903005d5d9a89b67ef0deec65cb6f0fd","Infrastructural Scripts and Glue Code","Crash - OS/PL Error, Crash","Overlooked Corner Case","6","https://github.com/microsoft/qsharp-compiler.git"
"1212","Classical","microsoft/qsharp-compiler","b1c3ec68f4bfae42eaaa3e2026f077332cccfa04","Infrastructural Scripts and Glue Code","Crash - OS/PL Error, Crash","Misconfiguration, Misconfiguration - Building","10","https://github.com/microsoft/qsharp-compiler.git"
"1216","Quantum","microsoft/qsharp-compiler","cb553b73f02833f7e9c74fa83ca787b1c0a7e603","Machine Code Generation","Crash - Application Error, Crash","Incorrect Application Logic","100+","https://github.com/microsoft/qsharp-compiler.git"
"1217","Quantum","microsoft/qsharp-compiler","c2f8e0e712fc698d93ef9b4991444874a7c04b50","Optimizations","Crash - Application Error, Crash","Overlooked Corner Case","70","https://github.com/microsoft/qsharp-compiler.git"
"1220","Quantum","microsoft/qsharp-compiler","d2f3de6cd0fd072569fc125cfe89941b0a40c968","Optimizations, Classical Abstractions","Incorrect Output","Incorrect Application Logic, Incorrect IR - Wrong Information","6","https://github.com/microsoft/qsharp-compiler.git"
"1221","Classical","microsoft/qsharp-compiler","3ffd626b249f836369054cc1aa9e5d2f8aadfe0b","Infrastructural Scripts and Glue Code","Crash - OS/PL Error, Crash","Incorrect Application Logic","100+","https://github.com/microsoft/qsharp-compiler.git"
"1222","Classical","microsoft/qsharp-compiler","1af31ba43561e9cbfa99be70e633f6d39a4fa71e","Machine Code Generation","Crash - OS/PL Error, Crash","Incorrect Application Logic","100+","https://github.com/microsoft/qsharp-compiler.git"
"1229","Classical","microsoft/qsharp-compiler","ed60c81e5192cddd5f7342c08a1c00d392473127","Intermediate Representation","Crash - OS/PL Error, Crash","Incorrect Application Logic, Overlooked Corner Case","88","https://github.com/microsoft/qsharp-compiler.git"
